composition,adults,children,monthly_income,payment,benefit,hourly_wage
"2 adults, 3 children",2,3,80,1597,Child Care Subsidy,0.46
1 adult,1,0,90,0,Child Care Subsidy,0.52
"1 adult, 1 child",1,1,90,741,Child Care Subsidy,0.52
"1 adult, 2 children",1,2,90,1596,Child Care Subsidy,0.52
"1 adult, 3 children",1,3,90,1596,Child Care Subsidy,0.52
2 adults,2,0,90,0,Child Care Subsidy,0.52
"2 adults, 1 child",2,1,90,741,Child Care Subsidy,0.52
"2 adults, 2 children",2,2,90,1596,Child Care Subsidy,0.52
"2 adults, 3 children",2,3,90,1596,Child Care Subsidy,0.52
1 adult,1,0,100,0,Child Care Subsidy,0.57
"1 adult, 1 child",1,1,100,740,Child Care Subsidy,0.57
"1 adult, 2 children",1,2,100,1595,Child Care Subsidy,0.57
"1 adult, 3 children",1,3,100,1595,Child Care Subsidy,0.57
2 adults,2,0,100,0,Child Care Subsidy,0.57
"2 adults, 1 child",2,1,100,740,Child Care Subsidy,0.57
"2 adults, 2 children",2,2,100,1595,Child Care Subsidy,0.57
"2 adults, 3 children",2,3,100,1595,Child Care Subsidy,0.57
1 adult,1,0,110,0,Child Care Subsidy,0.63
"1 adult, 1 child",1,1,110,739,Child Care Subsidy,0.63
"1 adult, 2 children",1,2,110,1594,Child Care Subsidy,0.63
"1 adult, 3 children",1,3,110,1594,Child Care Subsidy,0.63
2 adults,2,0,110,0,Child Care Subsidy,0.63
"2 adults, 1 child",2,1,110,739,Child Care Subsidy,0.63
"2 adults, 2 children",2,2,110,1594,Child Care Subsidy,0.63
"2 adults, 3 children",2,3,110,1594,Child Care Subsidy,0.63
1 adult,1,0,120,0,Child Care Subsidy,0.69
"1 adult, 1 child",1,1,120,738,Child Care Subsidy,0.69
"1 adult, 2 children",1,2,120,1593,Child Care Subsidy,0.69
"1 adult, 3 children",1,3,120,1593,Child Care Subsidy,0.69
2 adults,2,0,120,0,Child Care Subsidy,0.69
"2 adults, 1 child",2,1,120,738,Child Care Subsidy,0.69
"2 adults, 2 children",2,2,120,1593,Child Care Subsidy,0.69
"2 adults, 3 children",2,3,120,1593,Child Care Subsidy,0.69
1 adult,1,0,130,0,Child Care Subsidy,0.75
"1 adult, 1 child",1,1,130,737,Child Care Subsidy,0.75
"1 adult, 2 children",1,2,130,1592,Child Care Subsidy,0.75
"1 adult, 3 children",1,3,130,1592,Child Care Subsidy,0.75
2 adults,2,0,130,0,Child Care Subsidy,0.75
"2 adults, 1 child",2,1,130,737,Child Care Subsidy,0.75
"2 adults, 2 children",2,2,130,1592,Child Care Subsidy,0.75
"2 adults, 3 children",2,3,130,1592,Child Care Subsidy,0.75
1 adult,1,0,140,0,Child Care Subsidy,0.8
"1 adult, 1 child",1,1,140,736,Child Care Subsidy,0.8
"1 adult, 2 children",1,2,140,1591,Child Care Subsidy,0.8
"1 adult, 3 children",1,3,140,1591,Child Care Subsidy,0.8
2 adults,2,0,140,0,Child Care Subsidy,0.8
"2 adults, 1 child",2,1,140,736,Child Care Subsidy,0.8
"2 adults, 2 children",2,2,140,1591,Child Care Subsidy,0.8
"2 adults, 3 children",2,3,140,1591,Child Care Subsidy,0.8
1 adult,1,0,150,0,Child Care Subsidy,0.86
"1 adult, 1 child",1,1,150,735,Child Care Subsidy,0.86
"1 adult, 2 children",1,2,150,1590,Child Care Subsidy,0.86
"1 adult, 3 children",1,3,150,1590,Child Care Subsidy,0.86
2 adults,2,0,150,0,Child Care Subsidy,0.86
"2 adults, 1 child",2,1,150,735,Child Care Subsidy,0.86
"2 adults, 2 children",2,2,150,1590,Child Care Subsidy,0.86
"2 adults, 3 children",2,3,150,1590,Child Care Subsidy,0.86
1 adult,1,0,160,0,Child Care Subsidy,0.92
"1 adult, 1 child",1,1,160,734,Child Care Subsidy,0.92
"1 adult, 2 children",1,2,160,1589,Child Care Subsidy,0.92
"1 adult, 3 children",1,3,160,1589,Child Care Subsidy,0.92
2 adults,2,0,160,0,Child Care Subsidy,0.92
"2 adults, 1 child",2,1,160,734,Child Care Subsidy,0.92
"2 adults, 2 children",2,2,160,1589,Child Care Subsidy,0.92
"2 adults, 3 children",2,3,160,1589,Child Care Subsidy,0.92
1 adult,1,0,170,0,Child Care Subsidy,0.98
"1 adult, 1 child",1,1,170,733,Child Care Subsidy,0.98
"1 adult, 2 children",1,2,170,1588,Child Care Subsidy,0.98
"1 adult, 3 children",1,3,170,1588,Child Care Subsidy,0.98
2 adults,2,0,170,0,Child Care Subsidy,0.98
"2 adults, 1 child",2,1,170,733,Child Care Subsidy,0.98
"2 adults, 2 children",2,2,170,1588,Child Care Subsidy,0.98
"2 adults, 3 children",2,3,170,1588,Child Care Subsidy,0.98
1 adult,1,0,180,0,Child Care Subsidy,1.03
"1 adult, 1 child",1,1,180,732,Child Care Subsidy,1.03
"1 adult, 2 children",1,2,180,1587,Child Care Subsidy,1.03
"1 adult, 3 children",1,3,180,1587,Child Care Subsidy,1.03
2 adults,2,0,180,0,Child Care Subsidy,1.03
"2 adults, 1 child",2,1,180,732,Child Care Subsidy,1.03
"2 adults, 2 children",2,2,180,1587,Child Care Subsidy,1.03
"2 adults, 3 children",2,3,180,1587,Child Care Subsidy,1.03
1 adult,1,0,190,0,Child Care Subsidy,1.09
"1 adult, 1 child",1,1,190,731,Child Care Subsidy,1.09
"1 adult, 2 children",1,2,190,1586,Child Care Subsidy,1.09
"1 adult, 3 children",1,3,190,1586,Child Care Subsidy,1.09
2 adults,2,0,190,0,Child Care Subsidy,1.09
"2 adults, 1 child",2,1,190,731,Child Care Subsidy,1.09
"2 adults, 2 children",2,2,190,1586,Child Care Subsidy,1.09
"2 adults, 3 children",2,3,190,1586,Child Care Subsidy,1.09
1 adult,1,0,200,0,Child Care Subsidy,1.15
"1 adult, 1 child",1,1,200,730,Child Care Subsidy,1.15
"1 adult, 2 children",1,2,200,1585,Child Care Subsidy,1.15
"1 adult, 3 children",1,3,200,1585,Child Care Subsidy,1.15
2 adults,2,0,200,0,Child Care Subsidy,1.15
"2 adults, 1 child",2,1,200,730,Child Care Subsidy,1.15
"2 adults, 2 children",2,2,200,1585,Child Care Subsidy,1.15
"2 adults, 3 children",2,3,200,1585,Child Care Subsidy,1.15
1 adult,1,0,210,0,Child Care Subsidy,1.21
"1 adult, 1 child",1,1,210,729,Child Care Subsidy,1.21
"1 adult, 2 children",1,2,210,1584,Child Care Subsidy,1.21
"1 adult, 3 children",1,3,210,1584,Child Care Subsidy,1.21
2 adults,2,0,210,0,Child Care Subsidy,1.21
"2 adults, 1 child",2,1,210,729,Child Care Subsidy,1.21
"2 adults, 2 children",2,2,210,1584,Child Care Subsidy,1.21
"2 adults, 3 children",2,3,210,1584,Child Care Subsidy,1.21
1 adult,1,0,220,0,Child Care Subsidy,1.26
"1 adult, 1 child",1,1,220,728,Child Care Subsidy,1.26
"1 adult, 2 children",1,2,220,1583,Child Care Subsidy,1.26
"1 adult, 3 children",1,3,220,1583,Child Care Subsidy,1.26
2 adults,2,0,220,0,Child Care Subsidy,1.26
"2 adults, 1 child",2,1,220,728,Child Care Subsidy,1.26
"2 adults, 2 children",2,2,220,1583,Child Care Subsidy,1.26
"2 adults, 3 children",2,3,220,1583,Child Care Subsidy,1.26
1 adult,1,0,230,0,Child Care Subsidy,1.32
"1 adult, 1 child",1,1,230,727,Child Care Subsidy,1.32
"1 adult, 2 children",1,2,230,1582,Child Care Subsidy,1.32
"1 adult, 3 children",1,3,230,1582,Child Care Subsidy,1.32
2 adults,2,0,230,0,Child Care Subsidy,1.32
"2 adults, 1 child",2,1,230,727,Child Care Subsidy,1.32
"2 adults, 2 children",2,2,230,1582,Child Care Subsidy,1.32
"2 adults, 3 children",2,3,230,1582,Child Care Subsidy,1.32
1 adult,1,0,240,0,Child Care Subsidy,1.38
"1 adult, 1 child",1,1,240,726,Child Care Subsidy,1.38
"1 adult, 2 children",1,2,240,1581,Child Care Subsidy,1.38
"1 adult, 3 children",1,3,240,1581,Child Care Subsidy,1.38
2 adults,2,0,240,0,Child Care Subsidy,1.38
"2 adults, 1 child",2,1,240,726,Child Care Subsidy,1.38
"2 adults, 2 children",2,2,240,1581,Child Care Subsidy,1.38
"2 adults, 3 children",2,3,240,1581,Child Care Subsidy,1.38
1 adult,1,0,250,0,Child Care Subsidy,1.44
"1 adult, 1 child",1,1,250,725,Child Care Subsidy,1.44
"1 adult, 2 children",1,2,250,1580,Child Care Subsidy,1.44
"1 adult, 3 children",1,3,250,1580,Child Care Subsidy,1.44
2 adults,2,0,250,0,Child Care Subsidy,1.44
"2 adults, 1 child",2,1,250,725,Child Care Subsidy,1.44
"2 adults, 2 children",2,2,250,1580,Child Care Subsidy,1.44
"2 adults, 3 children",2,3,250,1580,Child Care Subsidy,1.44
1 adult,1,0,260,0,Child Care Subsidy,1.49
"1 adult, 1 child",1,1,260,724,Child Care Subsidy,1.49
"1 adult, 2 children",1,2,260,1579,Child Care Subsidy,1.49
"1 adult, 3 children",1,3,260,1579,Child Care Subsidy,1.49
2 adults,2,0,260,0,Child Care Subsidy,1.49
"2 adults, 1 child",2,1,260,724,Child Care Subsidy,1.49
"2 adults, 2 children",2,2,260,1579,Child Care Subsidy,1.49
"2 adults, 3 children",2,3,260,1579,Child Care Subsidy,1.49
1 adult,1,0,270,0,Child Care Subsidy,1.55
"1 adult, 1 child",1,1,270,723,Child Care Subsidy,1.55
"1 adult, 2 children",1,2,270,1578,Child Care Subsidy,1.55
"1 adult, 3 children",1,3,270,1578,Child Care Subsidy,1.55
2 adults,2,0,270,0,Child Care Subsidy,1.55
"2 adults, 1 child",2,1,270,723,Child Care Subsidy,1.55
"2 adults, 2 children",2,2,270,1578,Child Care Subsidy,1.55
"2 adults, 3 children",2,3,270,1578,Child Care Subsidy,1.55
1 adult,1,0,280,0,Child Care Subsidy,1.61
"1 adult, 1 child",1,1,280,722,Child Care Subsidy,1.61
"1 adult, 2 children",1,2,280,1577,Child Care Subsidy,1.61
"1 adult, 3 children",1,3,280,1577,Child Care Subsidy,1.61
2 adults,2,0,280,0,Child Care Subsidy,1.61
"2 adults, 1 child",2,1,280,722,Child Care Subsidy,1.61
"2 adults, 2 children",2,2,280,1577,Child Care Subsidy,1.61
"2 adults, 3 children",2,3,280,1577,Child Care Subsidy,1.61
1 adult,1,0,290,0,Child Care Subsidy,1.67
"1 adult, 1 child",1,1,290,721,Child Care Subsidy,1.67
"1 adult, 2 children",1,2,290,1576,Child Care Subsidy,1.67
"1 adult, 3 children",1,3,290,1576,Child Care Subsidy,1.67
2 adults,2,0,290,0,Child Care Subsidy,1.67
"2 adults, 1 child",2,1,290,721,Child Care Subsidy,1.67
"2 adults, 2 children",2,2,290,1576,Child Care Subsidy,1.67
"2 adults, 3 children",2,3,290,1576,Child Care Subsidy,1.67
1 adult,1,0,300,0,Child Care Subsidy,1.72
"1 adult, 1 child",1,1,300,720,Child Care Subsidy,1.72
"1 adult, 2 children",1,2,300,1575,Child Care Subsidy,1.72
"1 adult, 3 children",1,3,300,1575,Child Care Subsidy,1.72
2 adults,2,0,300,0,Child Care Subsidy,1.72
"2 adults, 1 child",2,1,300,720,Child Care Subsidy,1.72
"2 adults, 2 children",2,2,300,1575,Child Care Subsidy,1.72
"2 adults, 3 children",2,3,300,1575,Child Care Subsidy,1.72
1 adult,1,0,310,0,Child Care Subsidy,1.78
"1 adult, 1 child",1,1,310,719,Child Care Subsidy,1.78
"1 adult, 2 children",1,2,310,1574,Child Care Subsidy,1.78
"1 adult, 3 children",1,3,310,1574,Child Care Subsidy,1.78
2 adults,2,0,310,0,Child Care Subsidy,1.78
"2 adults, 1 child",2,1,310,719,Child Care Subsidy,1.78
"2 adults, 2 children",2,2,310,1574,Child Care Subsidy,1.78
"2 adults, 3 children",2,3,310,1574,Child Care Subsidy,1.78
1 adult,1,0,320,0,Child Care Subsidy,1.84
"1 adult, 1 child",1,1,320,718,Child Care Subsidy,1.84
"1 adult, 2 children",1,2,320,1573,Child Care Subsidy,1.84
"1 adult, 3 children",1,3,320,1573,Child Care Subsidy,1.84
2 adults,2,0,320,0,Child Care Subsidy,1.84
"2 adults, 1 child",2,1,320,718,Child Care Subsidy,1.84
"2 adults, 2 children",2,2,320,1573,Child Care Subsidy,1.84
"2 adults, 3 children",2,3,320,1573,Child Care Subsidy,1.84
1 adult,1,0,330,0,Child Care Subsidy,1.9
"1 adult, 1 child",1,1,330,717,Child Care Subsidy,1.9
"1 adult, 2 children",1,2,330,1572,Child Care Subsidy,1.9
"1 adult, 3 children",1,3,330,1572,Child Care Subsidy,1.9
2 adults,2,0,330,0,Child Care Subsidy,1.9
"2 adults, 1 child",2,1,330,717,Child Care Subsidy,1.9
"2 adults, 2 children",2,2,330,1572,Child Care Subsidy,1.9
"2 adults, 3 children",2,3,330,1572,Child Care Subsidy,1.9
1 adult,1,0,340,0,Child Care Subsidy,1.95
"1 adult, 1 child",1,1,340,716,Child Care Subsidy,1.95
"1 adult, 2 children",1,2,340,1571,Child Care Subsidy,1.95
"1 adult, 3 children",1,3,340,1571,Child Care Subsidy,1.95
2 adults,2,0,340,0,Child Care Subsidy,1.95
"2 adults, 1 child",2,1,340,716,Child Care Subsidy,1.95
"2 adults, 2 children",2,2,340,1571,Child Care Subsidy,1.95
"2 adults, 3 children",2,3,340,1571,Child Care Subsidy,1.95
1 adult,1,0,350,0,Child Care Subsidy,2.01
"1 adult, 1 child",1,1,350,715,Child Care Subsidy,2.01
"1 adult, 2 children",1,2,350,1570,Child Care Subsidy,2.01
"1 adult, 3 children",1,3,350,1570,Child Care Subsidy,2.01
2 adults,2,0,350,0,Child Care Subsidy,2.01
"2 adults, 1 child",2,1,350,715,Child Care Subsidy,2.01
"2 adults, 2 children",2,2,350,1570,Child Care Subsidy,2.01
"2 adults, 3 children",2,3,350,1570,Child Care Subsidy,2.01
1 adult,1,0,360,0,Child Care Subsidy,2.07
"1 adult, 1 child",1,1,360,714,Child Care Subsidy,2.07
"1 adult, 2 children",1,2,360,1569,Child Care Subsidy,2.07
"1 adult, 3 children",1,3,360,1569,Child Care Subsidy,2.07
2 adults,2,0,360,0,Child Care Subsidy,2.07
"2 adults, 1 child",2,1,360,714,Child Care Subsidy,2.07
"2 adults, 2 children",2,2,360,1569,Child Care Subsidy,2.07
"2 adults, 3 children",2,3,360,1569,Child Care Subsidy,2.07
1 adult,1,0,370,0,Child Care Subsidy,2.13
"1 adult, 1 child",1,1,370,713,Child Care Subsidy,2.13
"1 adult, 2 children",1,2,370,1568,Child Care Subsidy,2.13
"1 adult, 3 children",1,3,370,1568,Child Care Subsidy,2.13
2 adults,2,0,370,0,Child Care Subsidy,2.13
"2 adults, 1 child",2,1,370,713,Child Care Subsidy,2.13
"2 adults, 2 children",2,2,370,1568,Child Care Subsidy,2.13
"2 adults, 3 children",2,3,370,1568,Child Care Subsidy,2.13
1 adult,1,0,380,0,Child Care Subsidy,2.18
"1 adult, 1 child",1,1,380,712,Child Care Subsidy,2.18
"1 adult, 2 children",1,2,380,1567,Child Care Subsidy,2.18
"1 adult, 3 children",1,3,380,1567,Child Care Subsidy,2.18
2 adults,2,0,380,0,Child Care Subsidy,2.18
"2 adults, 1 child",2,1,380,712,Child Care Subsidy,2.18
"2 adults, 2 children",2,2,380,1567,Child Care Subsidy,2.18
"2 adults, 3 children",2,3,380,1567,Child Care Subsidy,2.18
1 adult,1,0,390,0,Child Care Subsidy,2.24
"1 adult, 1 child",1,1,390,711,Child Care Subsidy,2.24
"1 adult, 2 children",1,2,390,1566,Child Care Subsidy,2.24
"1 adult, 3 children",1,3,390,1566,Child Care Subsidy,2.24
2 adults,2,0,390,0,Child Care Subsidy,2.24
"2 adults, 1 child",2,1,390,711,Child Care Subsidy,2.24
"2 adults, 2 children",2,2,390,1566,Child Care Subsidy,2.24
"2 adults, 3 children",2,3,390,1566,Child Care Subsidy,2.24
1 adult,1,0,400,0,Child Care Subsidy,2.3
"1 adult, 1 child",1,1,400,710,Child Care Subsidy,2.3
"1 adult, 2 children",1,2,400,1565,Child Care Subsidy,2.3
"1 adult, 3 children",1,3,400,1565,Child Care Subsidy,2.3
2 adults,2,0,400,0,Child Care Subsidy,2.3
"2 adults, 1 child",2,1,400,710,Child Care Subsidy,2.3
"2 adults, 2 children",2,2,400,1565,Child Care Subsidy,2.3
"2 adults, 3 children",2,3,400,1565,Child Care Subsidy,2.3
1 adult,1,0,410,0,Child Care Subsidy,2.36
"1 adult, 1 child",1,1,410,709,Child Care Subsidy,2.36
"1 adult, 2 children",1,2,410,1564,Child Care Subsidy,2.36
"1 adult, 3 children",1,3,410,1564,Child Care Subsidy,2.36
2 adults,2,0,410,0,Child Care Subsidy,2.36
"2 adults, 1 child",2,1,410,709,Child Care Subsidy,2.36
"2 adults, 2 children",2,2,410,1564,Child Care Subsidy,2.36
"2 adults, 3 children",2,3,410,1564,Child Care Subsidy,2.36
1 adult,1,0,420,0,Child Care Subsidy,2.41
"1 adult, 1 child",1,1,420,708,Child Care Subsidy,2.41
"1 adult, 2 children",1,2,420,1563,Child Care Subsidy,2.41
"1 adult, 3 children",1,3,420,1563,Child Care Subsidy,2.41
2 adults,2,0,420,0,Child Care Subsidy,2.41
"2 adults, 1 child",2,1,420,708,Child Care Subsidy,2.41
"2 adults, 2 children",2,2,420,1563,Child Care Subsidy,2.41
"2 adults, 3 children",2,3,420,1563,Child Care Subsidy,2.41
1 adult,1,0,430,0,Child Care Subsidy,2.47
"1 adult, 1 child",1,1,430,707,Child Care Subsidy,2.47
"1 adult, 2 children",1,2,430,1562,Child Care Subsidy,2.47
"1 adult, 3 children",1,3,430,1562,Child Care Subsidy,2.47
2 adults,2,0,430,0,Child Care Subsidy,2.47
"2 adults, 1 child",2,1,430,707,Child Care Subsidy,2.47
"2 adults, 2 children",2,2,430,1562,Child Care Subsidy,2.47
"2 adults, 3 children",2,3,430,1562,Child Care Subsidy,2.47
1 adult,1,0,440,0,Child Care Subsidy,2.53
"1 adult, 1 child",1,1,440,706,Child Care Subsidy,2.53
"1 adult, 2 children",1,2,440,1561,Child Care Subsidy,2.53
"1 adult, 3 children",1,3,440,1561,Child Care Subsidy,2.53
2 adults,2,0,440,0,Child Care Subsidy,2.53
"2 adults, 1 child",2,1,440,706,Child Care Subsidy,2.53
"2 adults, 2 children",2,2,440,1561,Child Care Subsidy,2.53
"2 adults, 3 children",2,3,440,1561,Child Care Subsidy,2.53
1 adult,1,0,450,0,Child Care Subsidy,2.59
"1 adult, 1 child",1,1,450,705,Child Care Subsidy,2.59
"1 adult, 2 children",1,2,450,1560,Child Care Subsidy,2.59
"1 adult, 3 children",1,3,450,1560,Child Care Subsidy,2.59
2 adults,2,0,450,0,Child Care Subsidy,2.59
"2 adults, 1 child",2,1,450,705,Child Care Subsidy,2.59
"2 adults, 2 children",2,2,450,1560,Child Care Subsidy,2.59
"2 adults, 3 children",2,3,450,1560,Child Care Subsidy,2.59
1 adult,1,0,460,0,Child Care Subsidy,2.64
"1 adult, 1 child",1,1,460,704,Child Care Subsidy,2.64
"1 adult, 2 children",1,2,460,1559,Child Care Subsidy,2.64
"1 adult, 3 children",1,3,460,1559,Child Care Subsidy,2.64
2 adults,2,0,460,0,Child Care Subsidy,2.64
"2 adults, 1 child",2,1,460,704,Child Care Subsidy,2.64
"2 adults, 2 children",2,2,460,1559,Child Care Subsidy,2.64
"2 adults, 3 children",2,3,460,1559,Child Care Subsidy,2.64
1 adult,1,0,470,0,Child Care Subsidy,2.7
"1 adult, 1 child",1,1,470,703,Child Care Subsidy,2.7
"1 adult, 2 children",1,2,470,1558,Child Care Subsidy,2.7
"1 adult, 3 children",1,3,470,1558,Child Care Subsidy,2.7
2 adults,2,0,470,0,Child Care Subsidy,2.7
"2 adults, 1 child",2,1,470,703,Child Care Subsidy,2.7
"2 adults, 2 children",2,2,470,1558,Child Care Subsidy,2.7
"2 adults, 3 children",2,3,470,1558,Child Care Subsidy,2.7
1 adult,1,0,480,0,Child Care Subsidy,2.76
"1 adult, 1 child",1,1,480,702,Child Care Subsidy,2.76
"1 adult, 2 children",1,2,480,1557,Child Care Subsidy,2.76
"1 adult, 3 children",1,3,480,1557,Child Care Subsidy,2.76
2 adults,2,0,480,0,Child Care Subsidy,2.76
"2 adults, 1 child",2,1,480,702,Child Care Subsidy,2.76
"2 adults, 2 children",2,2,480,1557,Child Care Subsidy,2.76
"2 adults, 3 children",2,3,480,1557,Child Care Subsidy,2.76
1 adult,1,0,490,0,Child Care Subsidy,2.82
"1 adult, 1 child",1,1,490,701,Child Care Subsidy,2.82
"1 adult, 2 children",1,2,490,1556,Child Care Subsidy,2.82
"1 adult, 3 children",1,3,490,1556,Child Care Subsidy,2.82
2 adults,2,0,490,0,Child Care Subsidy,2.82
"2 adults, 1 child",2,1,490,701,Child Care Subsidy,2.82
"2 adults, 2 children",2,2,490,1556,Child Care Subsidy,2.82
"2 adults, 3 children",2,3,490,1556,Child Care Subsidy,2.82
1 adult,1,0,500,0,Child Care Subsidy,2.87
"1 adult, 1 child",1,1,500,700,Child Care Subsidy,2.87
"1 adult, 2 children",1,2,500,1555,Child Care Subsidy,2.87
"1 adult, 3 children",1,3,500,1555,Child Care Subsidy,2.87
2 adults,2,0,500,0,Child Care Subsidy,2.87
"2 adults, 1 child",2,1,500,700,Child Care Subsidy,2.87
"2 adults, 2 children",2,2,500,1555,Child Care Subsidy,2.87
"2 adults, 3 children",2,3,500,1555,Child Care Subsidy,2.87
1 adult,1,0,510,0,Child Care Subsidy,2.93
"1 adult, 1 child",1,1,510,699,Child Care Subsidy,2.93
"1 adult, 2 children",1,2,510,1554,Child Care Subsidy,2.93
"1 adult, 3 children",1,3,510,1554,Child Care Subsidy,2.93
2 adults,2,0,510,0,Child Care Subsidy,2.93
"2 adults, 1 child",2,1,510,699,Child Care Subsidy,2.93
"2 adults, 2 children",2,2,510,1554,Child Care Subsidy,2.93
"2 adults, 3 children",2,3,510,1554,Child Care Subsidy,2.93
1 adult,1,0,520,0,Child Care Subsidy,2.99
"1 adult, 1 child",1,1,520,698,Child Care Subsidy,2.99
"1 adult, 2 children",1,2,520,1553,Child Care Subsidy,2.99
"1 adult, 3 children",1,3,520,1553,Child Care Subsidy,2.99
2 adults,2,0,520,0,Child Care Subsidy,2.99
"2 adults, 1 child",2,1,520,698,Child Care Subsidy,2.99
"2 adults, 2 children",2,2,520,1553,Child Care Subsidy,2.99
"2 adults, 3 children",2,3,520,1553,Child Care Subsidy,2.99
1 adult,1,0,530,0,Child Care Subsidy,3.05
"1 adult, 1 child",1,1,530,697,Child Care Subsidy,3.05
"1 adult, 2 children",1,2,530,1552,Child Care Subsidy,3.05
"1 adult, 3 children",1,3,530,1552,Child Care Subsidy,3.05
2 adults,2,0,530,0,Child Care Subsidy,3.05
"2 adults, 1 child",2,1,530,697,Child Care Subsidy,3.05
"2 adults, 2 children",2,2,530,1552,Child Care Subsidy,3.05
"2 adults, 3 children",2,3,530,1552,Child Care Subsidy,3.05
1 adult,1,0,540,0,Child Care Subsidy,3.1
"1 adult, 1 child",1,1,540,696,Child Care Subsidy,3.1
"1 adult, 2 children",1,2,540,1551,Child Care Subsidy,3.1
"1 adult, 3 children",1,3,540,1551,Child Care Subsidy,3.1
