composition,monthly_income,benefit,payment,hourly_wage
1 adult,390,"Child Care, SNAP, TANF, WIC, Housing",931,2.24
1 adult,400,After-tax income,400,2.3
1 adult,400,"SNAP, TANF, WIC, Housing",938,2.3
1 adult,400,"Child Care, SNAP, TANF, WIC, Housing",938,2.3
1 adult,410,After-tax income,410,2.36
1 adult,410,"SNAP, TANF, WIC, Housing",945,2.36
1 adult,410,"Child Care, SNAP, TANF, WIC, Housing",945,2.36
1 adult,420,After-tax income,420,2.41
1 adult,420,"SNAP, TANF, WIC, Housing",952,2.41
1 adult,420,"Child Care, SNAP, TANF, WIC, Housing",952,2.41
1 adult,430,After-tax income,430,2.47
1 adult,430,"SNAP, TANF, WIC, Housing",959,2.47
1 adult,430,"Child Care, SNAP, TANF, WIC, Housing",959,2.47
1 adult,440,After-tax income,440,2.53
1 adult,440,"SNAP, TANF, WIC, Housing",966,2.53
1 adult,440,"Child Care, SNAP, TANF, WIC, Housing",966,2.53
1 adult,450,After-tax income,450,2.59
1 adult,450,"SNAP, TANF, WIC, Housing",973,2.59
1 adult,450,"Child Care, SNAP, TANF, WIC, Housing",973,2.59
1 adult,460,After-tax income,460,2.64
1 adult,460,"SNAP, TANF, WIC, Housing",980,2.64
1 adult,460,"Child Care, SNAP, TANF, WIC, Housing",980,2.64
1 adult,470,After-tax income,470,2.7
1 adult,470,"SNAP, TANF, WIC, Housing",987,2.7
1 adult,470,"Child Care, SNAP, TANF, WIC, Housing",987,2.7
1 adult,480,After-tax income,480,2.76
1 adult,480,"SNAP, TANF, WIC, Housing",994,2.76
1 adult,480,"Child Care, SNAP, TANF, WIC, Housing",994,2.76
1 adult,490,After-tax income,490,2.82
1 adult,490,"SNAP, TANF, WIC, Housing",1001,2.82
1 adult,490,"Child Care, SNAP, TANF, WIC, Housing",1001,2.82
1 adult,500,After-tax income,500,2.87
1 adult,500,"SNAP, TANF, WIC, Housing",1008,2.87
1 adult,500,"Child Care, SNAP, TANF, WIC, Housing",1008,2.87
1 adult,510,After-tax income,510,2.93
1 adult,510,"SNAP, TANF, WIC, Housing",1015,2.93
1 adult,510,"Child Care, SNAP, TANF, WIC, Housing",1015,2.93
1 adult,520,After-tax income,520,2.99
1 adult,520,"SNAP, TANF, WIC, Housing",1022,2.99
1 adult,520,"Child Care, SNAP, TANF, WIC, Housing",1022,2.99
1 adult,530,After-tax income,530,3.05
1 adult,530,"SNAP, TANF, WIC, Housing",1029,3.05
1 adult,530,"Child Care, SNAP, TANF, WIC, Housing",1029,3.05
1 adult,540,After-tax income,540,3.1
1 adult,540,"SNAP, TANF, WIC, Housing",1036,3.1
1 adult,540,"Child Care, SNAP, TANF, WIC, Housing",1036,3.1
1 adult,550,After-tax income,550,3.16
1 adult,550,"SNAP, TANF, WIC, Housing",1043,3.16
1 adult,550,"Child Care, SNAP, TANF, WIC, Housing",1043,3.16
1 adult,560,After-tax income,560,3.22
1 adult,560,"SNAP, TANF, WIC, Housing",1050,3.22
1 adult,560,"Child Care, SNAP, TANF, WIC, Housing",1050,3.22
1 adult,570,After-tax income,569.64,3.28
1 adult,570,"SNAP, TANF, WIC, Housing",1056.64,3.28
1 adult,570,"Child Care, SNAP, TANF, WIC, Housing",1056.64,3.28
1 adult,580,After-tax income,578.88,3.33
1 adult,580,"SNAP, TANF, WIC, Housing",1062.88,3.33
1 adult,580,"Child Care, SNAP, TANF, WIC, Housing",1062.88,3.33
1 adult,590,After-tax income,588.12,3.39
1 adult,590,"SNAP, TANF, WIC, Housing",1069.12,3.39
1 adult,590,"Child Care, SNAP, TANF, WIC, Housing",1069.12,3.39
1 adult,600,After-tax income,597.35,3.45
1 adult,600,"SNAP, TANF, WIC, Housing",1075.35,3.45
1 adult,600,"Child Care, SNAP, TANF, WIC, Housing",1075.35,3.45
1 adult,610,After-tax income,606.59,3.51
1 adult,610,"SNAP, TANF, WIC, Housing",1081.59,3.51
1 adult,610,"Child Care, SNAP, TANF, WIC, Housing",1081.59,3.51
1 adult,620,After-tax income,615.82,3.56
1 adult,620,"SNAP, TANF, WIC, Housing",1087.82,3.56
1 adult,620,"Child Care, SNAP, TANF, WIC, Housing",1087.82,3.56
1 adult,630,After-tax income,625.05,3.62
1 adult,630,"SNAP, TANF, WIC, Housing",1094.05,3.62
1 adult,630,"Child Care, SNAP, TANF, WIC, Housing",1094.05,3.62
1 adult,640,After-tax income,634.29,3.68
1 adult,640,"SNAP, TANF, WIC, Housing",1100.29,3.68
1 adult,640,"Child Care, SNAP, TANF, WIC, Housing",1100.29,3.68
1 adult,650,After-tax income,643.52,3.74
1 adult,650,"SNAP, TANF, WIC, Housing",1106.52,3.74
1 adult,650,"Child Care, SNAP, TANF, WIC, Housing",1106.52,3.74
1 adult,660,After-tax income,652.76,3.79
1 adult,660,"SNAP, TANF, WIC, Housing",1112.76,3.79
1 adult,660,"Child Care, SNAP, TANF, WIC, Housing",1112.76,3.79
1 adult,670,After-tax income,662,3.85
1 adult,670,"SNAP, TANF, WIC, Housing",1119,3.85
1 adult,670,"Child Care, SNAP, TANF, WIC, Housing",1119,3.85
1 adult,680,After-tax income,671.23,3.91
1 adult,680,"SNAP, TANF, WIC, Housing",1125.23,3.91
1 adult,680,"Child Care, SNAP, TANF, WIC, Housing",1125.23,3.91
1 adult,690,After-tax income,680.47,3.97
1 adult,690,"SNAP, TANF, WIC, Housing",1131.47,3.97
1 adult,690,"Child Care, SNAP, TANF, WIC, Housing",1131.47,3.97
1 adult,700,After-tax income,689.7,4.02
1 adult,700,"SNAP, TANF, WIC, Housing",1137.7,4.02
1 adult,700,"Child Care, SNAP, TANF, WIC, Housing",1137.7,4.02
1 adult,710,After-tax income,698.74,4.08
1 adult,710,"SNAP, TANF, WIC, Housing",1143.74,4.08
1 adult,710,"Child Care, SNAP, TANF, WIC, Housing",1143.74,4.08
1 adult,720,After-tax income,707.21,4.14
1 adult,720,"SNAP, TANF, WIC, Housing",1149.21,4.14
1 adult,720,"Child Care, SNAP, TANF, WIC, Housing",1149.21,4.14
1 adult,730,After-tax income,715.68,4.2
1 adult,730,"SNAP, TANF, WIC, Housing",1154.68,4.2
1 adult,730,"Child Care, SNAP, TANF, WIC, Housing",1154.68,4.2
1 adult,740,After-tax income,724.15,4.25
1 adult,740,"SNAP, TANF, WIC, Housing",1160.15,4.25
1 adult,740,"Child Care, SNAP, TANF, WIC, Housing",1160.15,4.25
1 adult,750,After-tax income,732.62,4.31
1 adult,750,"SNAP, TANF, WIC, Housing",1165.62,4.31
1 adult,750,"Child Care, SNAP, TANF, WIC, Housing",1165.62,4.31
1 adult,760,After-tax income,741.09,4.37
1 adult,760,"SNAP, TANF, WIC, Housing",1171.09,4.37
1 adult,760,"Child Care, SNAP, TANF, WIC, Housing",1171.09,4.37
1 adult,770,After-tax income,749.56,4.43
1 adult,770,"SNAP, TANF, WIC, Housing",1176.56,4.43
1 adult,770,"Child Care, SNAP, TANF, WIC, Housing",1176.56,4.43
1 adult,780,After-tax income,758.03,4.48
1 adult,780,"SNAP, TANF, WIC, Housing",1182.03,4.48
1 adult,780,"Child Care, SNAP, TANF, WIC, Housing",1182.03,4.48
1 adult,790,After-tax income,766.5,4.54
1 adult,790,"SNAP, TANF, WIC, Housing",1187.5,4.54
1 adult,790,"Child Care, SNAP, TANF, WIC, Housing",1187.5,4.54
1 adult,800,After-tax income,774.97,4.6
1 adult,800,"SNAP, TANF, WIC, Housing",1192.97,4.6
1 adult,800,"Child Care, SNAP, TANF, WIC, Housing",1192.97,4.6
1 adult,810,After-tax income,783.44,4.66
1 adult,810,"SNAP, TANF, WIC, Housing",1198.44,4.66
1 adult,810,"Child Care, SNAP, TANF, WIC, Housing",1198.44,4.66
1 adult,820,After-tax income,791.91,4.71
1 adult,820,"SNAP, TANF, WIC, Housing",1203.91,4.71
1 adult,820,"Child Care, SNAP, TANF, WIC, Housing",1203.91,4.71
1 adult,830,After-tax income,800.38,4.77
1 adult,830,"SNAP, TANF, WIC, Housing",1209.38,4.77
1 adult,830,"Child Care, SNAP, TANF, WIC, Housing",1209.38,4.77
1 adult,840,After-tax income,808.85,4.83
1 adult,840,"SNAP, TANF, WIC, Housing",1214.85,4.83
1 adult,840,"Child Care, SNAP, TANF, WIC, Housing",1214.85,4.83
1 adult,850,After-tax income,817.32,4.89
1 adult,850,"SNAP, TANF, WIC, Housing",1220.32,4.89
1 adult,850,"Child Care, SNAP, TANF, WIC, Housing",1220.32,4.89
1 adult,860,After-tax income,825.79,4.94
1 adult,860,"SNAP, TANF, WIC, Housing",1225.79,4.94
1 adult,860,"Child Care, SNAP, TANF, WIC, Housing",1225.79,4.94
1 adult,870,After-tax income,834.26,5
1 adult,870,"SNAP, TANF, WIC, Housing",1231.26,5
1 adult,870,"Child Care, SNAP, TANF, WIC, Housing",1231.26,5
1 adult,880,After-tax income,842.73,5.06
1 adult,880,"SNAP, TANF, WIC, Housing",1236.73,5.06
1 adult,880,"Child Care, SNAP, TANF, WIC, Housing",1236.73,5.06
1 adult,890,After-tax income,851.2,5.11
1 adult,890,"SNAP, TANF, WIC, Housing",1242.2,5.11
1 adult,890,"Child Care, SNAP, TANF, WIC, Housing",1242.2,5.11
1 adult,900,After-tax income,859.67,5.17
1 adult,900,"SNAP, TANF, WIC, Housing",1246.47,5.17
1 adult,900,"Child Care, SNAP, TANF, WIC, Housing",1246.47,5.17
1 adult,910,After-tax income,868.14,5.23
1 adult,910,"SNAP, TANF, WIC, Housing",1249.54,5.23
1 adult,910,"Child Care, SNAP, TANF, WIC, Housing",1249.54,5.23
1 adult,920,After-tax income,876.61,5.29
1 adult,920,"SNAP, TANF, WIC, Housing",1252.61,5.29
1 adult,920,"Child Care, SNAP, TANF, WIC, Housing",1252.61,5.29
1 adult,930,After-tax income,885.08,5.34
1 adult,930,"SNAP, TANF, WIC, Housing",1255.68,5.34
1 adult,930,"Child Care, SNAP, TANF, WIC, Housing",1255.68,5.34
1 adult,940,After-tax income,893.55,5.4
1 adult,940,"SNAP, TANF, WIC, Housing",1258.75,5.4
1 adult,940,"Child Care, SNAP, TANF, WIC, Housing",1258.75,5.4
1 adult,950,After-tax income,902.02,5.46
1 adult,950,"SNAP, TANF, WIC, Housing",1261.82,5.46
1 adult,950,"Child Care, SNAP, TANF, WIC, Housing",1261.82,5.46
1 adult,960,After-tax income,910.49,5.52
1 adult,960,"SNAP, TANF, WIC, Housing",1264.89,5.52
1 adult,960,"Child Care, SNAP, TANF, WIC, Housing",1264.89,5.52
1 adult,970,After-tax income,918.96,5.57
1 adult,970,"SNAP, TANF, WIC, Housing",1267.96,5.57
1 adult,970,"Child Care, SNAP, TANF, WIC, Housing",1267.96,5.57
1 adult,980,After-tax income,927.43,5.63
1 adult,980,"SNAP, TANF, WIC, Housing",1271.03,5.63
1 adult,980,"Child Care, SNAP, TANF, WIC, Housing",1271.03,5.63
1 adult,990,After-tax income,935.9,5.69
1 adult,990,"SNAP, TANF, WIC, Housing",1274.1,5.69
1 adult,990,"Child Care, SNAP, TANF, WIC, Housing",1274.1,5.69
1 adult,1000,After-tax income,944.37,5.75
1 adult,1000,"SNAP, TANF, WIC, Housing",1277.17,5.75
1 adult,1000,"Child Care, SNAP, TANF, WIC, Housing",1277.17,5.75
1 adult,1010,After-tax income,951.29,5.8
1 adult,1010,"SNAP, TANF, WIC, Housing",1278.69,5.8
1 adult,1010,"Child Care, SNAP, TANF, WIC, Housing",1278.69,5.8
1 adult,1020,After-tax income,958.21,5.86
1 adult,1020,"SNAP, TANF, WIC, Housing",1280.21,5.86
1 adult,1020,"Child Care, SNAP, TANF, WIC, Housing",1280.21,5.86
1 adult,1030,After-tax income,965.13,5.92
1 adult,1030,"SNAP, TANF, WIC, Housing",1281.73,5.92
1 adult,1030,"Child Care, SNAP, TANF, WIC, Housing",1281.73,5.92
1 adult,1040,After-tax income,972.05,5.98
1 adult,1040,"SNAP, TANF, WIC, Housing",1283.25,5.98
1 adult,1040,"Child Care, SNAP, TANF, WIC, Housing",1283.25,5.98
1 adult,1050,After-tax income,978.97,6.03
1 adult,1050,"SNAP, TANF, WIC, Housing",1284.77,6.03
1 adult,1050,"Child Care, SNAP, TANF, WIC, Housing",1284.77,6.03
1 adult,1060,After-tax income,985.89,6.09
1 adult,1060,"SNAP, TANF, WIC, Housing",1286.29,6.09
1 adult,1060,"Child Care, SNAP, TANF, WIC, Housing",1286.29,6.09
1 adult,1070,After-tax income,992.81,6.15
1 adult,1070,"SNAP, TANF, WIC, Housing",1287.81,6.15
1 adult,1070,"Child Care, SNAP, TANF, WIC, Housing",1287.81,6.15
1 adult,1080,After-tax income,999.73,6.21
1 adult,1080,"SNAP, TANF, WIC, Housing",1289.33,6.21
1 adult,1080,"Child Care, SNAP, TANF, WIC, Housing",1289.33,6.21
1 adult,1090,After-tax income,1006.65,6.26
1 adult,1090,"SNAP, TANF, WIC, Housing",1290.85,6.26
1 adult,1090,"Child Care, SNAP, TANF, WIC, Housing",1290.85,6.26
1 adult,1100,After-tax income,1013.57,6.32
1 adult,1100,"SNAP, TANF, WIC, Housing",1292.37,6.32
1 adult,1100,"Child Care, SNAP, TANF, WIC, Housing",1292.37,6.32
1 adult,1110,After-tax income,1020.49,6.38
1 adult,1110,"SNAP, TANF, WIC, Housing",1293.89,6.38
1 adult,1110,"Child Care, SNAP, TANF, WIC, Housing",1293.89,6.38
1 adult,1120,After-tax income,1027.41,6.44
1 adult,1120,"SNAP, TANF, WIC, Housing",1295.41,6.44
1 adult,1120,"Child Care, SNAP, TANF, WIC, Housing",1295.41,6.44
1 adult,1130,After-tax income,1034.33,6.49
1 adult,1130,"SNAP, TANF, WIC, Housing",1296.93,6.49
1 adult,1130,"Child Care, SNAP, TANF, WIC, Housing",1296.93,6.49
1 adult,1140,After-tax income,1041.25,6.55
1 adult,1140,"SNAP, TANF, WIC, Housing",1298.45,6.55
1 adult,1140,"Child Care, SNAP, TANF, WIC, Housing",1298.45,6.55
1 adult,1150,After-tax income,1048.17,6.61
1 adult,1150,"SNAP, TANF, WIC, Housing",1299.97,6.61
1 adult,1150,"Child Care, SNAP, TANF, WIC, Housing",1299.97,6.61
1 adult,1160,After-tax income,1055.09,6.67
1 adult,1160,"SNAP, TANF, WIC, Housing",1301.49,6.67
1 adult,1160,"Child Care, SNAP, TANF, WIC, Housing",1301.49,6.67
1 adult,1170,After-tax income,1062.01,6.72
1 adult,1170,"SNAP, TANF, WIC, Housing",1303.01,6.72
1 adult,1170,"Child Care, SNAP, TANF, WIC, Housing",1303.01,6.72
1 adult,1180,After-tax income,1068.93,6.78
1 adult,1180,"SNAP, TANF, WIC, Housing",1304.53,6.78
1 adult,1180,"Child Care, SNAP, TANF, WIC, Housing",1304.53,6.78
1 adult,1190,After-tax income,1075.85,6.84
1 adult,1190,"SNAP, TANF, WIC, Housing",1306.05,6.84
1 adult,1190,"Child Care, SNAP, TANF, WIC, Housing",1306.05,6.84
1 adult,1200,After-tax income,1082.77,6.9
1 adult,1200,"SNAP, TANF, WIC, Housing",1307.57,6.9
1 adult,1200,"Child Care, SNAP, TANF, WIC, Housing",1307.57,6.9
1 adult,1210,After-tax income,1089.69,6.95
1 adult,1210,"SNAP, TANF, WIC, Housing",1309.09,6.95
1 adult,1210,"Child Care, SNAP, TANF, WIC, Housing",1309.09,6.95
1 adult,1220,After-tax income,1096.61,7.01
1 adult,1220,"SNAP, TANF, WIC, Housing",1310.61,7.01
1 adult,1220,"Child Care, SNAP, TANF, WIC, Housing",1310.61,7.01
1 adult,1230,After-tax income,1103.53,7.07
1 adult,1230,"SNAP, TANF, WIC, Housing",1312.13,7.07
1 adult,1230,"Child Care, SNAP, TANF, WIC, Housing",1312.13,7.07
1 adult,1240,After-tax income,1110.45,7.13
1 adult,1240,"SNAP, TANF, WIC, Housing",1313.65,7.13
1 adult,1240,"Child Care, SNAP, TANF, WIC, Housing",1313.65,7.13
1 adult,1250,After-tax income,1117.37,7.18
1 adult,1250,"SNAP, TANF, WIC, Housing",1315.17,7.18
1 adult,1250,"Child Care, SNAP, TANF, WIC, Housing",1315.17,7.18
1 adult,1260,After-tax income,1124.29,7.24
1 adult,1260,"SNAP, TANF, WIC, Housing",1316.69,7.24
1 adult,1260,"Child Care, SNAP, TANF, WIC, Housing",1316.69,7.24
1 adult,1270,After-tax income,1131.21,7.3
1 adult,1270,"SNAP, TANF, WIC, Housing",1318.21,7.3
1 adult,1270,"Child Care, SNAP, TANF, WIC, Housing",1318.21,7.3
1 adult,1280,After-tax income,1138.68,7.36
1 adult,1280,"SNAP, TANF, WIC, Housing",1320.28,7.36
1 adult,1280,"Child Care, SNAP, TANF, WIC, Housing",1320.28,7.36
1 adult,1290,After-tax income,1146.37,7.41
1 adult,1290,"SNAP, TANF, WIC, Housing",1322.57,7.41
1 adult,1290,"Child Care, SNAP, TANF, WIC, Housing",1322.57,7.41
1 adult,1300,After-tax income,1154.05,7.47
1 adult,1300,"SNAP, TANF, WIC, Housing",1324.85,7.47
1 adult,1300,"Child Care, SNAP, TANF, WIC, Housing",1324.85,7.47
1 adult,1310,After-tax income,1161.73,7.53
1 adult,1310,"SNAP, TANF, WIC, Housing",1327.13,7.53
1 adult,1310,"Child Care, SNAP, TANF, WIC, Housing",1327.13,7.53
1 adult,1320,After-tax income,1169.42,7.59
1 adult,1320,"SNAP, TANF, WIC, Housing",1329.42,7.59
1 adult,1320,"Child Care, SNAP, TANF, WIC, Housing",1329.42,7.59
1 adult,1330,After-tax income,1177.11,7.64
1 adult,1330,"SNAP, TANF, WIC, Housing",1331.71,7.64
1 adult,1330,"Child Care, SNAP, TANF, WIC, Housing",1331.71,7.64
1 adult,1340,After-tax income,1184.79,7.7
1 adult,1340,"SNAP, TANF, WIC, Housing",1333.99,7.7
1 adult,1340,"Child Care, SNAP, TANF, WIC, Housing",1333.99,7.7
1 adult,1350,After-tax income,1192.48,7.76
1 adult,1350,"SNAP, TANF, WIC, Housing",1336.28,7.76
1 adult,1350,"Child Care, SNAP, TANF, WIC, Housing",1336.28,7.76
1 adult,1360,After-tax income,1200.16,7.82
1 adult,1360,"SNAP, TANF, WIC, Housing",1258.16,7.82
1 adult,1360,"Child Care, SNAP, TANF, WIC, Housing",1258.16,7.82
1 adult,1370,After-tax income,1207.85,7.87
1 adult,1370,"SNAP, TANF, WIC, Housing",1262.85,7.87
1 adult,1370,"Child Care, SNAP, TANF, WIC, Housing",1262.85,7.87
1 adult,1380,After-tax income,1215.53,7.93
1 adult,1380,"SNAP, TANF, WIC, Housing",1267.53,7.93
1 adult,1380,"Child Care, SNAP, TANF, WIC, Housing",1267.53,7.93
1 adult,1390,After-tax income,1223.21,7.99
1 adult,1390,"SNAP, TANF, WIC, Housing",1272.21,7.99
1 adult,1390,"Child Care, SNAP, TANF, WIC, Housing",1272.21,7.99
1 adult,1400,After-tax income,1230.9,8.05
1 adult,1400,"SNAP, TANF, WIC, Housing",1276.9,8.05
1 adult,1400,"Child Care, SNAP, TANF, WIC, Housing",1276.9,8.05
1 adult,1410,After-tax income,1238.59,8.1
1 adult,1410,"SNAP, TANF, WIC, Housing",1281.59,8.1
1 adult,1410,"Child Care, SNAP, TANF, WIC, Housing",1281.59,8.1
1 adult,1420,After-tax income,1246.27,8.16
1 adult,1420,"SNAP, TANF, WIC, Housing",1286.27,8.16
1 adult,1420,"Child Care, SNAP, TANF, WIC, Housing",1286.27,8.16
1 adult,1430,After-tax income,1253.95,8.22
1 adult,1430,"SNAP, TANF, WIC, Housing",1290.95,8.22
1 adult,1430,"Child Care, SNAP, TANF, WIC, Housing",1290.95,8.22
1 adult,1440,After-tax income,1261.64,8.28
1 adult,1440,"SNAP, TANF, WIC, Housing",1295.64,8.28
1 adult,1440,"Child Care, SNAP, TANF, WIC, Housing",1295.64,8.28
1 adult,1450,After-tax income,1269.33,8.33
1 adult,1450,"SNAP, TANF, WIC, Housing",1300.33,8.33
1 adult,1450,"Child Care, SNAP, TANF, WIC, Housing",1300.33,8.33
1 adult,1460,After-tax income,1277.01,8.39
1 adult,1460,"SNAP, TANF, WIC, Housing",1305.01,8.39
1 adult,1460,"Child Care, SNAP, TANF, WIC, Housing",1305.01,8.39
1 adult,1470,After-tax income,1284.69,8.45
1 adult,1470,"SNAP, TANF, WIC, Housing",1309.69,8.45
1 adult,1470,"Child Care, SNAP, TANF, WIC, Housing",1309.69,8.45
1 adult,1480,After-tax income,1292.38,8.51
1 adult,1480,"SNAP, TANF, WIC, Housing",1314.38,8.51
1 adult,1480,"Child Care, SNAP, TANF, WIC, Housing",1314.38,8.51
1 adult,1490,After-tax income,1300.07,8.56
1 adult,1490,"SNAP, TANF, WIC, Housing",1319.07,8.56
1 adult,1490,"Child Care, SNAP, TANF, WIC, Housing",1319.07,8.56
1 adult,1500,After-tax income,1307.75,8.62
1 adult,1500,"SNAP, TANF, WIC, Housing",1323.75,8.62
1 adult,1500,"Child Care, SNAP, TANF, WIC, Housing",1323.75,8.62
1 adult,1510,After-tax income,1315.43,8.68
